SMILES,hERG_IC50_nM,hERG_label,source
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,14.0,1,ChEMBL
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,32.2,1,ChEMBL
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,5950.0,0,ChEMBL
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,143.0,1,ChEMBL
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,196.0,1,ChEMBL
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,173.0,1,ChEMBL
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,4.4,1,ChEMBL
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,152.0,1,ChEMBL
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,74000.0,0,ChEMBL
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,1430.0,0,ChEMBL
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,100000.0,0,ChEMBL
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,129000.0,0,ChEMBL
CN(C)CCC=C1c2ccccc2CCc2ccccc21,10000.0,0,ChEMBL
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,130000.0,0,ChEMBL
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,550.0,1,ChEMBL
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,15.0,1,ChEMBL
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,104000.0,0,ChEMBL
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0.9,1,ChEMBL
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,28.1,1,ChEMBL
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,28.0,1,ChEMBL
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,204.0,1,ChEMBL
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,3730.0,0,ChEMBL
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,7800.0,0,ChEMBL
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,18.0,1,ChEMBL
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,191.0,1,ChEMBL
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,6.5,1,ChEMBL
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,21570.0,0,ChEMBL
Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,7.7,1,ChEMBL
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,34400.0,0,ChEMBL
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1470.0,0,ChEMBL
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,162.0,1,ChEMBL
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,17300.0,0,ChEMBL
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,163.0,1,ChEMBL
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,350.0,1,ChEMBL
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,560.0,1,ChEMBL
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,35.7,1,ChEMBL
CN(C)CCCN1c2ccccc2CCc2ccccc21,3400.0,0,ChEMBL
CN1C(=O)[C@H](NC(=O)C(N)Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,8800.0,0,ChEMBL
O=C(Cc1ccc(C(F)(F)F)cc1C(F)(F)F)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,6000.0,0,ChEMBL
CN1C(=O)[C@H](NC(=O)CCC2CCCCC2)N=C(c2ccccc2)c2ccccc21,1000.0,0,ChEMBL
CN1C(=O)[C@H](NC(=O)/C=C/c2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21,1500.0,0,ChEMBL
O=C(Cc1ccc(Cl)cc1Cl)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,2400.0,0,ChEMBL
Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,5000.0,0,ChEMBL
O=C(Cc1cc(Cl)cc(Cl)c1)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,4000.0,0,ChEMBL
Cc1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,10000.0,0,ChEMBL
CN(C)CCN1C(=O)C(NC(=O)CCc2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21,100.0,1,ChEMBL
O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccc(Cl)cc23)CC1,88.0,1,ChEMBL
O=C1NCCN1CCN1CCC(c2cn(C3CCCCC3)c3ccc(Cl)cc23)CC1,137.0,1,ChEMBL
CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,1480.0,0,ChEMBL
O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,10.0,1,ChEMBL
CC(C)(C)c1ccc2c(ccn2-c2ccc(F)cc2)c1,10000.0,0,ChEMBL
O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,23.5,1,ChEMBL
O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,579.0,1,ChEMBL
Fc1ccc(-n2cc(C3CCN(CCN4CCN=C4S)CC3)c3ccccc32)cc1,6.2,1,ChEMBL
