smiles,measured log solubility in mols per litre,source
CCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OC)C1c1cccc(C(F)(F)F)c1,3.9,ChEMBL
O=C1c2cccc(O)c2Cc2c(O)cccc21,2.17,ChEMBL
N#Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2,3.16,ChEMBL
O=C1c2c(O)cccc2C(O)c2cccc(O)c21,2.91,ChEMBL
O=C1c2ccccc2Cc2c1ccc(O)c2O,3.81,ChEMBL
COC(=O)c1cc(O)c2c(c1)Cc1cccc(O)c1C2=O,4.54,ChEMBL
Cc1cc(O)c2c(c1)Cc1cc(O)cc(O)c1C2=O,3.9,ChEMBL
CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)n1cccc1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CC(C)C,4.9,ChEMBL
CCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OC)C1c1ccc([N+](=O)[O-])cc1,3.6,ChEMBL
O=C1c2cccc(OCc3ccccc3)c2Cc2c(OCc3ccccc3)cccc21,5.73,ChEMBL
O=C1c2c(O)cccc2C(OCc2ccccc2)c2cccc(O)c21,4.25,ChEMBL
O=NN(CCCl)C(=O)N[C@@H]1CCCC[C@@H]1Cl,2.73,ChEMBL
C[C@H]1CC[C@@H](NC(=O)N(CCCl)N=O)CC1,3.3,ChEMBL
CO[C@H]1CC[C@H](NC(=O)N(CCCl)N=O)CC1,2.09,ChEMBL
COc1cccc(O)c1,1.58,ChEMBL
O=NN(CCCl)C(=O)NC1CCCCC1,2.83,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,-0.66,ChEMBL
O=[N+]([O-])c1c[nH]cn1,0.16,ChEMBL
O=C(O)/C=C/C(=O)c1ccccc1,1.94,ChEMBL
O=NN(CCF)C(=O)NC1CSCSC1,1.54,ChEMBL
O=NN(CCCl)C(=O)NC1(C(=O)O)CCCC1,1.82,ChEMBL
COCC1OC(O)C(NC(=O)N(CCCl)N=O)C(OC)C1OC,0.8,ChEMBL
C[C@H]1CCC[C@@H](NC(=O)N(CCCl)N=O)C1,3.37,ChEMBL
CCOC(=O)C1CCC(NC(=O)N(CCCl)N=O)CC1,2.2,ChEMBL
O=NN(CCCl)C(=O)N[C@@H]1CCCC[C@H]1O,1.34,ChEMBL
COc1ccc(O)cc1,1.34,ChEMBL
O=NN(CCF)C(=O)NC1CCCCC1,2.25,ChEMBL
O=NN(CCCl)C(=O)NC1CC2CCC1C2,2.98,ChEMBL
COC(=O)/C=C/C(=O)c1cccnc1,0.056,ChEMBL
CCOC(=O)C1(NC(=O)N(CCCl)N=O)CCCC1,2.88,ChEMBL
O=NN(CCF)C(=O)NC1CCSc2ccccc21,2.33,ChEMBL
CC1CC(O)C(NC(=O)N(CCCl)N=O)C(O)C1,0.69,ChEMBL
CC(=O)OC1CCC(NC(=O)N(CCF)N=O)CC1,1.33,ChEMBL
C[C@H]1S(=O)(=O)C[C@H](NC(=O)N(CCCl)N=O)CS1(=O)=O,-0.53,ChEMBL
CC[C@@]1(CC(=O)O)OC[C@H](Cc2ccccc2)c2c1[nH]c1ccccc21,4.4,ChEMBL
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,3.5,ChEMBL
CN1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,2.6,ChEMBL
Cc1cc(C)c(NC(=O)N(CCCl)N=O)c(C)c1,3.11,ChEMBL
C[C@H]1CCC[C@H](NC(=O)N(CCCl)N=O)C1,1.77,ChEMBL
Oc1ccc(F)cc1,1.77,ChEMBL
Nc1ccc(Br)cc1,2.26,ChEMBL
CC(C)c1ncc([N+](=O)[O-])n1C,1.06,ChEMBL
O=C(NCc1ccc(F)cc1)C(=O)c1c[nH]c2ccccc12,2.88,ChEMBL
O=NN(CCF)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,-1.48,ChEMBL
O=NN(CCCl)C(=O)NC1CCC(Cl)CC1,2.66,ChEMBL
Oc1cccc(O)c1,0.8,ChEMBL
O=NN(CCCl)C(=O)NCCF,0.95,ChEMBL
CC1CC(NC(=O)N(CCCl)N=O)CC(C)(C)C1,4.06,ChEMBL
CC(=O)OC1CCC(NC(=O)N(CCCl)N=O)CC1,1.66,ChEMBL
O=NN(CCCl)C(=O)NCCCl,1.53,ChEMBL
O=[N+]([O-])c1cncn1CCN1CCOCC1,0.07,ChEMBL
COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,4.0,ChEMBL
CN1CC(=O)NC1=N,-2.0,ChEMBL
O=NN(CCF)C(=O)NC1CC2CCC1C2,2.4,ChEMBL
O=NN(CCCl)C(=O)NC1CCC(=O)NC1=O,0.37,ChEMBL
CN(C)C(=O)c1ccc(NC(=O)N(CCCl)N=O)cc1,0.37,ChEMBL
CC1(NC(=O)N(CCCl)N=O)CCCC1,2.7,ChEMBL
CC(=O)OCC1OCC(NC(=O)N(CCCl)N=O)C(OC(C)=O)C1OC(C)=O,1.87,ChEMBL
C=CC[C@H]1CCC(CC)(CC(=O)O)c2[nH]c3c(CC)cccc3c21,6.3,ChEMBL
C=CC[C@H]1COC(CC)(CC(=O)O)c2[nH]c3c(C)cccc3c21,4.0,ChEMBL
CCOC(=O)C1(NC(=O)N(CCCl)N=O)CCCCC1,3.45,ChEMBL
O=NN(CCCl)C(=O)NC1CCSc2ccccc21,2.91,ChEMBL
O=NN(CCCl)C(=O)NC1C2CC3CC(C2)CC1C3,3.62,ChEMBL
Oc1ccc(Br)cc1,2.59,ChEMBL
N#Cc1ccccc1,1.56,ChEMBL
C/C(=C\C(=O)O)C(=O)c1ccccc1,2.44,ChEMBL
NC(=O)N1c2ccccc2C=Cc2ccccc21,2.45,ChEMBL
CC1(C)CCC(NC(=O)N(CCF)N=O)CC1,3.13,ChEMBL
N#Cc1cccc(O)c1,1.7,ChEMBL
C/C(=C/C(=O)c1ccc(C)cc1)C(=O)O,2.19,ChEMBL
C=CC[C@H]1COC(CC)(CC(=O)O)c2[nH]c3c(CC)cccc3c21,4.5,ChEMBL
O=NN(CCF)C(=O)NCCF,0.38,ChEMBL
O=NN(CCF)C(=O)NC1CCCCCCCCCCC1,5.22,ChEMBL
CC1CCC(NC(=O)N(CCF)N=O)CC1,2.72,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CC[C@H](CC(=O)O)CC1,2.16,ChEMBL
O=[N+]([O-])c1ccc(Cl)cc1,2.3,ChEMBL
Nc1cccc(F)c1,1.3,ChEMBL
Nc1cccc2ccccc12,2.26,ChEMBL
CCCCCCCC(=O)/C(C)=C(/C)C(=O)O,2.4,ChEMBL
O=C(NCc1ccc(O)cc1)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12,2.67,ChEMBL
O=C(O)C1CCN(CCCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,0.9,ChEMBL
O=COCC1CCC(NC(=O)N(CCCl)N=O)CC1,1.85,ChEMBL
C[C@H]1S(=O)(=O)C[C@@H](NC(=O)N(CCCl)N=O)CS1(=O)=O,-0.53,ChEMBL
CCCCCC(C)NC(=O)N(CCCl)N=O,3.55,ChEMBL
Oc1cccc(C(F)(F)F)c1,2.95,ChEMBL
COc1ccc(N)cc1,0.95,ChEMBL
Cn1c([N+](=O)[O-])cnc1C=O,0.69,ChEMBL
N#Cc1cccc([N+](=O)[O-])c1,1.17,ChEMBL
CCC1(CC(=O)O)CC[C@H](Cc2ccccc2)c2c1[nH]c1ccccc21,6.2,ChEMBL
C=CC[C@H]1CCC(CC)(CC(=O)O)c2[nH]c3ccccc3c21,5.2,ChEMBL
O=C(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,1.7,ChEMBL
O=NN(CCCl)C(=O)NC1CCCCCCCCCCC1,5.8,ChEMBL
CC(C)(C)C1CCC(NC(=O)N(CCCl)N=O)CC1,4.66,ChEMBL
O=NN(CCF)C(=O)NC1CCSCC1,1.43,ChEMBL
CC12CCC(C(=O)C1=O)C2(C)C,1.52,ChEMBL
COC(=S)NCCn1c([N+](=O)[O-])cnc1C,0.9,ChEMBL
Nc1cc(-c2ccncc2)c[nH]c1=O,2.66,ChEMBL
O=S(=O)(c1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1)N1CCNCC1,2.3,ChEMBL
O=NN(CCCl)C(=O)NC1CCCC1,2.19,ChEMBL
CC(C)(C)C1CCCC(NC(=O)N(CCCl)N=O)C1,4.6,ChEMBL
O=NN(CCCl)C(=O)NC(Cc1ccccc1)C(=O)O,2.59,ChEMBL
O=NN(CCCl)C(=O)N[C@@H]1CCC[C@H](O)C1,1.11,ChEMBL
C[C@H]1CC[C@H](NC(=O)N(CCCl)N=O)CC1,3.3,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CC[C@H](C(=O)O)CC1,1.53,ChEMBL
CC(=O)OCC1CCC(NC(=O)N(CCCl)N=O)CC1,2.35,ChEMBL
CC(=O)OCC1CCC(NC(=O)N(CCF)N=O)CC1,1.77,ChEMBL
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,-0.77,ChEMBL
COc1ccc(CNC(=O)C(=O)c2c[nH]c3ccc([N+](=O)[O-])cc23)cc1,2.17,ChEMBL
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.53,ChEMBL
O=NN(CCCl)C(=O)NC1CCS(=O)(=O)CC1,0.19,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CC[C@@H](C(=O)O)CC1,1.68,ChEMBL
O=NN(CCF)C(=O)N[C@H]1CC[C@@H](C(=O)O)CC1,1.1,ChEMBL
c1ccc2[nH]ccc2c1,2.14,ChEMBL
O=C(O)/C=C/C(=O)c1cccnc1,0.26,ChEMBL
C/C(=C\C(=O)O)C(=O)c1ccc(C)cc1,2.94,ChEMBL
CC(=O)c1cc(C#N)c(O)nc1C,-0.1,ChEMBL
O=NN(CCF)C(=O)NC1C2CC3CC(C2)CC1C3,3.04,ChEMBL
O=NN(CCCl)C(=O)N[C@@H]1CCCC[C@@H]1O,1.75,ChEMBL
O=NN(CCCl)C(=O)NC1CCC(CC2CCC(NC(=O)N(CCCl)N=O)CC2)CC1,6.07,ChEMBL
CO[C@H]1CC[C@@H](NC(=O)N(CCCl)N=O)CC1,2.09,ChEMBL
Cc1ccc(C(C)C)c(O)c1,3.3,ChEMBL
Oc1nc2ccccc2cc1-c1cc2cc(OCCN3CCCCC3)ccc2[nH]1,3.7,ChEMBL
O=NN(CCCl)C(=O)NC1CCSCC1,2.07,ChEMBL
O=NN(CCCl)C(=O)NC1CCC(Br)CC1,2.67,ChEMBL
CC1SCC(NC(=O)N(CCCl)N=O)CS1,2.49,ChEMBL
c1ccc(/N=N/c2ccccc2)cc1,3.82,ChEMBL
COC(=O)/C=C\C(=O)c1ccccc1,1.49,ChEMBL
C=CC[C@H]1CCC(CC)(CC(=O)O)c2[nH]c3c(C)cccc3c21,5.8,ChEMBL
Cc1cn([C@@H]2O[C@H](CO)c3ccccc32)c(=O)[nH]c1=O,0.55,ChEMBL
O=NN(CCCl)C(=O)NC1CCCCC1NC(=O)N(CCCl)N=O,3.57,ChEMBL
CCC1CCC(NC(=O)N(CCCl)N=O)CC1,3.84,ChEMBL
Cn1c([N+](=O)[O-])cnc1COC(N)=O,-0.38,ChEMBL
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,2.07,ChEMBL
CC(C)C[C@H](N)C(=O)O,-1.55,ChEMBL
COCCN(C)CCOc1ccc2[nH]c(-c3cc4ccccc4nc3O)cc2c1,3.1,ChEMBL
O=NN(CCCl)C(=O)NC12CC3CC(CC(C3)C1)C2,3.62,ChEMBL
CC(C)(NC(=O)N(CCCl)N=O)C(=O)O,0.91,ChEMBL
CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)CO[C@H]1NC(=O)N(CCCl)N=O,0.82,ChEMBL
O=NN(CCCl)C(=O)NC1C(O)CCCC1O,0.16,ChEMBL
CC(=O)OCC1OC(NC(=O)N(CCCl)N=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,1.04,ChEMBL
CCOC(=O)C1CCCC(NC(=O)N(CCCl)N=O)C1,2.2,ChEMBL
Oc1ccc(Cl)cc1,2.39,ChEMBL
COc1ccc([N+](=O)[O-])cc1,2.03,ChEMBL
COc1ccc(CO)cc1,1.1,ChEMBL
CCCCCCCCCCCC(=O)/C(C)=C(/C)C(=O)O,4.4,ChEMBL
C=CC[C@H]1CCC(CC)(CC(=O)O)c2[nH]c3c(CCC)cccc3c21,6.9,ChEMBL
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OC[C@@H]3Cc1ccccc1,5.6,ChEMBL
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.18,ChEMBL
O=NN(CCCl)C(=O)NC1CCCC(C(=O)O)C1,1.86,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CC[C@@H](CC(=O)O)CC1,2.22,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CC[C@@H](O)CC1,1.11,ChEMBL
Cc1ncc([N+](=O)[O-])n1CCO,-0.1,ChEMBL
C/C(=C/C(=O)O)C(=O)c1ccccc1,1.69,ChEMBL
C=CC[C@H]1COC(CC)(CC(=O)O)c2[nH]c3ccccc3c21,3.3,ChEMBL
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.37,ChEMBL
COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC.Cl,3.96,ChEMBL
O=NN(CCCl)C(=O)NC1CCCC(NC(=O)N(CCCl)N=O)C1,2.74,ChEMBL
O=NN(CCF)C(=O)N[C@H]1CC[C@H](C(=O)O)CC1,1.1,ChEMBL
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,-0.09,ChEMBL
O=NN(CCCl)C(=O)NC1C=CCCC1,2.45,ChEMBL
O=NN(CCCl)C(=O)NC1CCC(NC(=O)N(CCCl)N=O)CC1,3.57,ChEMBL
Oc1ccc(I)cc1,2.91,ChEMBL
Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,0.85,ChEMBL
O=C(O)/C=C/C(=O)c1ccc(-c2ccccc2)cc1,3.9,ChEMBL
CC(C)NCC(O)COc1cccc2ccccc12.Cl,3.43,ChEMBL
O=NN(CCF)C(=O)NC1CCC(NC(=O)N(CCCl)N=O)CC1,2.41,ChEMBL
CC(NC(=O)N(CCCl)N=O)C(=O)O,0.5,ChEMBL
Cc1nc([N+](=O)[O-])c[nH]1,0.49,ChEMBL
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-0.36,ChEMBL
C/C(=C/C(=O)O)C(=O)c1ccc(C)cc1,2.19,ChEMBL
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)CCC3,5.3,ChEMBL
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-1.71,ChEMBL
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,3.58,ChEMBL
CN(C(=O)N(CC/C=N/C(=O)N(CCCl)N=O)N=O)C1CCCCC1,3.19,ChEMBL
CC(C)C1CCC(NC(=O)N(CCF)N=O)CC1,3.67,ChEMBL
NC(=O)N(CCCl)N=O,0.57,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CC[C@H](O)CC1,1.1,ChEMBL
O=NN(CCCl)C(=O)N[C@@H]1CCC[C@@H](O)C1,1.0,ChEMBL
CCC1(CC(=O)O)CC[C@H](Cc2ccccc2)c2c1[nH]c1c(C)cccc21,6.9,ChEMBL
CC(=O)N1CCN(CCOc2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,3.2,ChEMBL
COC1OC(COC(C)=O)C(OC(C)=O)C(NC(=O)N(CCCl)N=O)C1OC(C)=O,0.67,ChEMBL
CCc1cccc(O)c1,2.4,ChEMBL
CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,3.42,ChEMBL
O=NN(CCF)C(=O)NC1CCS(=O)(=O)CC1,-0.39,ChEMBL
O=NN(CCCl)C(=O)NC1CCS(=O)(=O)C1,0.57,ChEMBL
CC(=O)O[C@H]1CCCC[C@@H]1NC(=O)N(CCCl)N=O,2.56,ChEMBL
O=NN(CCCl)C(=O)NC1CCC(CCl)CC1,3.01,ChEMBL
CCCCC(=O)/C(C)=C(/C)C(=O)O,0.9,ChEMBL
COC(=O)/C=C/C(=O)c1ccc(C)cc1,2.74,ChEMBL
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-2.0,ChEMBL
O=NN(CCCl)C(=O)NC(C(=O)O)C1CCCCC1,2.89,ChEMBL
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)CC[C@@H]3Cc1ccccc1,7.4,ChEMBL
COC(=O)/C=C/C(=O)c1ccccc1,2.24,ChEMBL
c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1,2.5,ChEMBL
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,-2.0,ChEMBL
O=NN(CCCl)C(=O)NC1CSCSC1,2.08,ChEMBL
O=NN(CCCl)C(=O)NC1CS(=O)(=O)CS(=O)(=O)C1,-0.9,ChEMBL
COC(=O)[C@H]1CC[C@H](NC(=O)N(CCCl)N=O)CC1,1.89,ChEMBL
COC(=O)[C@H]1CC[C@@H](NC(=O)N(CCCl)N=O)CC1,1.89,ChEMBL
C/C(=C\C(=O)c1ccc(C)cc1)C(=O)O,2.94,ChEMBL
O=C(c1ccccc1)c1ccc(O)nc1-c1ccccc1,3.82,ChEMBL
CC1CC(=O)c2ccc(O)nc2C1,0.45,ChEMBL
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,2.89,ChEMBL
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],4.17,ChEMBL
CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,3.0,ChEMBL
c1ccc2ccccc2c1,3.3,ChEMBL
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,0.6,ChEMBL
Cn1c([N+](=O)[O-])cnc1CO,-0.03,ChEMBL
COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,4.0,ChEMBL
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0.17,ChEMBL
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-0.13,ChEMBL
CC12CC3(C)CC(C)(C1)CC(NC(=O)N(CCCl)N=O)(C2)C3,5.575,ChEMBL
O=NN(CCCl)C(=O)NC(CCC(=O)O)C(=O)O,0.6,ChEMBL
CC(=O)O[C@H]1CCCC[C@H]1NC(=O)N(CCCl)N=O,1.96,ChEMBL
CC(=O)OC1OC(C)C(OC(C)=O)C(OC(C)=O)C1NC(=O)N(CCCl)N=O,1.32,ChEMBL
CC(=O)Nc1ccc(Br)cc1,2.29,ChEMBL
CNCCCN1c2ccccc2CCc2ccccc21.Cl,4.54,ChEMBL
Cc1cccc(C)c1NC(=O)N(CCCl)N=O,2.57,ChEMBL
CCC1CCC(NC(=O)N(CCF)N=O)CC1,3.26,ChEMBL
O=NN(CCCl)C(=O)N[C@H]1CCCC[C@@H]1Cl,2.73,ChEMBL
Oc1cccc(F)c1,1.93,ChEMBL
Cc1ccc(O)cc1,1.94,ChEMBL
Nc1ccc(Cl)cc1,1.83,ChEMBL
Cc1ccc(N)cc1,1.39,ChEMBL
Cc1ccc(C(=O)/C=C/C(=O)O)cc1,2.44,ChEMBL
CCC1(CC(=O)O)OC[C@H](Cc2ccccc2)c2c1[nH]c1c(C)cccc21,5.0,ChEMBL
CC(=O)Nc1ccc(S(=O)(=O)N2[C@@H]3COCOC[C@@H]32)cc1,-0.966,ChEMBL
CN1CC=C(n2ccnc2)CC1,1.31,ChEMBL
CN1CC=C(c2cccnc2)CC1,1.44,ChEMBL
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cn1,3.6,ChEMBL
O=C1CCCN(c2ccccc2)N1,1.452,ChEMBL
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-0.1,ChEMBL
O=C(O)[C@H]1Cc2c(CCP(=O)(O)O)cccc2CN1,1.4,ChEMBL
CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,3.19,ChEMBL
COc1ccc(S(=O)(=O)N2[C@@H]3COCOC[C@@H]32)cc1,-0.1762,ChEMBL
CC(C)C(CC(=O)OC[C@H](CO)OC(=O)CC(C(C)C)C(C)C)C(C)C,5.8,ChEMBL
CC(C)C(=CC(=O)O[C@@H](CO)COC(=O)CC(C(C)C)C(C)C)C(C)C,5.7,ChEMBL
COCCC1CN(c2ccc(OC)cc2)NC1=O,0.45,ChEMBL
CC(=O)c1ccc(-c2nn(CCn3ccnc3)c(=O)c3ccccc23)s1,1.508,ChEMBL
CCc1ccc(-c2nn(CCn3ccnc3)c(=O)c3ccccc23)cc1,3.165,ChEMBL
CN1CC=C(n2ccnn2)CC1,1.13,ChEMBL
CN1CC=C(n2nnc3ccccc32)CC1,2.36,ChEMBL
COCCC1CN(c2ccc(C)cc2)NC1=O,1.03,ChEMBL
Cc1ccc2oc(=O)c3c(O)c4cccc(O[C@H]5O[C@H](C)[C@H](O)[C@H](O)[C@H]5O)c4c4oc(=O)c1c2c34,2.07,ChEMBL
O=c1c2ccccc2c(-c2ccccc2)nn1CCn1ccnc1,2.137,ChEMBL
CSc1ccc(-c2nn(CCn3ccnc3)c(=O)c3ccccc23)cc1,2.696,ChEMBL
COCCC1CN(c2ccc(O)cc2)NC1=O,-0.14,ChEMBL
CS(=O)(=O)Nc1ccccc1,0.95,ChEMBL
CN1CC=C(n2cnc3ccccc32)CC1,2.54,ChEMBL
NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],0.14,ChEMBL
O=C(NCCCN1CCOCC1)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],-1.05,ChEMBL
NC(=O)c1cc(N2CC2)ccc1[N+](=O)[O-],0.7,ChEMBL
O=c1[nH]c(=O)n(C2CCCO2)cc1F,-0.48,ChEMBL
CN1CC=C(c2ccccc2)CC1,2.74,ChEMBL
COCC1CN(c2ccccc2)NC1=O,0.891,ChEMBL
O=S(=O)(CF)Nc1ccccc1,1.35,ChEMBL
COC[C@H]1CN(c2ccc(OCCCCO)cc2)C(=O)O1,1.84,ChEMBL
CCc1ccc(-c2nn(CCn3ccnc3)c(=O)c3ccccc23)s1,3.021,ChEMBL
O=c1c2ccccc2c(-c2ccccn2)nn1CCn1ccnc1,0.87,ChEMBL
O=S(=O)(c1ccc(Cl)cc1)N1[C@@H]2COCOC[C@@H]21,0.5401,ChEMBL
CN(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)/C=C/C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCCN(C)C)n(C)c4)n(C)c3)cn2C)cn1C,3.18,ChEMBL
CS(=O)(=O)c1cc([N+](=O)[O-])c(C(N)=O)cc1N1CC1,-0.3,ChEMBL
CCCOCC1CN(c2ccccc2)NC1=O,1.949,ChEMBL
COCCC1CN(c2ccccc2)NC1=O,0.53,ChEMBL
O=C(OCC(=O)N(N1CCOCC1)N1CCOCC1)c1ccccc1,0.9,ChEMBL
COC[C@H]1CN(c2ccc(OCCCC(C)O)cc2)C(=O)O1,2.27,ChEMBL
CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,5.25,ChEMBL
COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,0.18,ChEMBL
CS(=O)(=O)c1cc([N+](=O)[O-])c(N2CC2)cc1C(N)=O,-0.41,ChEMBL
NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1N1CC1,0.34,ChEMBL
CCS(=O)(=O)O.Cc1cc(N2C(N)=NC(N)=NC2(C)C)ccc1OCc1cccc(C(N)=O)c1,-2.46,ChEMBL
O=C(OCC(=O)N(N1CCCCC1)N1CCCCC1)c1ccccc1,1.95,ChEMBL
COC[C@H]1CN(c2ccc(OCC[C@@H](C)OC)cc2)C(=O)O1,2.7,ChEMBL
COC[C@H]1CN(c2ccc(OCCC(C)=O)cc2)C(=O)O1,1.37,ChEMBL
O=S(=O)(c1ccc(Br)cc1)N1[C@@H]2COCOC[C@@H]21,0.835,ChEMBL
CC(=O)Nc1ccc(S(=O)(=O)N2C3COC(C)(C)OCC32)cc1,2.344,ChEMBL
CN(CCN1CCOCC1)C(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],-0.26,ChEMBL
NC(=O)c1c([N+](=O)[O-])ccc(N2CC2)c1[N+](=O)[O-],-0.17,ChEMBL
COCCC1CCN(c2ccccc2)NC1=O,1.089,ChEMBL
Cc1ccc2oc(=O)c3c(O)c4cccc(O)c4c4oc(=O)c1c2c34,4.19,ChEMBL
COC[C@H]1CN(c2ccc(OCCO)cc2)C(=O)O1,0.77,ChEMBL
O=c1c2ccccc2c(-c2cccnc2)nn1CCn1ccnc1,0.66,ChEMBL
Cc1nn(CCn2ccnc2)c(=O)c2ccccc12,0.538,ChEMBL
Cn1cc(NC(=O)c2cc(NC(=O)CNC(=N)N)cn2C)cc1C(=O)NCCC(=N)N,-3.29,ChEMBL
CC(C)=C1CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O,3.2,ChEMBL
O=C1NN(c2ccccc2)CC1SCc1ccccc1,3.632,ChEMBL
COCC1(C)CN(c2ccccc2)NC1=O,1.41,ChEMBL
Cc1ccc2oc(=O)c3c(O)c4cccc(O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c4c4oc(=O)c1c2c34,1.82,ChEMBL
COCCC1CN(c2ccc(Cl)c(Cl)c2)NC1=O,1.96,ChEMBL
COCCC1CN(c2ccc(OCc3ccccc3)cc2)NC1=O,2.22,ChEMBL
O=c1c2ccccc2c(C2CCCCC2)nn1CCn1ccnc1,3.188,ChEMBL
CN1CC=C(c2ccc[nH]2)CC1,1.27,ChEMBL
CN1CC=C(n2ccc3ccccc32)CC1,3.61,ChEMBL
CC(C)CC(=O)OCC1(CO)C/C(=C\CC(C(C)C)C(C)C)C(=O)O1,4.1,ChEMBL
O=C(NCCn1ccnc1)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],-0.48,ChEMBL
COCCC1CN(c2cccc(C(F)(F)F)c2)NC1=O,1.41,ChEMBL
CC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@@H](Oc3cccc4c(O)c5c(=O)oc6ccc(C)c7c(=O)oc(c34)c5c67)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1.68,ChEMBL
COC[C@H]1CN(c2ccc(CCCO)cc2)C(=O)O1,1.27,ChEMBL
CC(=O)Nc1ccc(S(=O)(=O)N2[C@@H]3CO[C@H](C(C)C)OC[C@@H]32)cc1,0.992,ChEMBL
CC(C)C(C/C=C1/CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O)C(C)C,5.9,ChEMBL
CS(=O)(=O)c1cc([N+](=O)[O-])c(N2CC2)cc1C(=O)NCC(O)CO,-0.96,ChEMBL
O=C1NN(c2ccccc2)CC1Cc1cccs1,2.476,ChEMBL
