smiles,measured log solubility in mols per litre,source
CC(C)COC(=O)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)OCC(C)C,5.75,ChEMBL
O=C(OCC1CCCCO1)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)OCC1CCCCO1,4.07,ChEMBL
CC(C)(CC(=O)N1CCC[C@H]1C(=O)C1CCCC1)CC(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)CO,0.7,ChEMBL
Oc1ccccc1,-1.04,ChEMBL
NCCCNCCO,2.09,ChEMBL
CN(C)C1CC(C)(C)NC(C)(C)C1,2.89,ChEMBL
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,6.99,ChEMBL
OCc1ccccc1,-0.77,ChEMBL
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1.49,ChEMBL
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,2.0,ChEMBL
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.43,ChEMBL
CN(C(=O)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)N(C)c1ccccc1)c1ccccc1,7.06,ChEMBL
O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,3.55,ChEMBL
Clc1ccc(-c2ccccc2)cc1,4.61,ChEMBL
Br.Br.CCN(Cc1ccccc1)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(CC)Cc4ccccc4)C3)cc2)C1,5.756,ChEMBL
CNCCCNC,2.02,ChEMBL
COCCc1ccc(OCC(O)CNC(C)C)cc1,2.34,ChEMBL
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.74,ChEMBL
Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,2.87,ChEMBL
CC(=O)c1ccc(S(C)(=O)=O)cc1,-1.56,ChEMBL
NC1CCN(Cc2ccccc2)CC1,2.74,ChEMBL
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-3.67,ChEMBL
CCCCCCCCOC(=O)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)OCCCCCCCC,10.35,ChEMBL
NC(=O)c1ccccc1N,-2.72,ChEMBL
Br.Br.CCN(CC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(CC)CC)C3)cc2)C1,3.478,ChEMBL
C1CCN(C2CCNCC2)CC1,2.76,ChEMBL
N#C[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)c2ccccc2)c1,1.1,ChEMBL
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-1.1,ChEMBL
CN(C)C1CCNCC1,2.95,ChEMBL
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.04,ChEMBL
O=C(OC1CCOC1)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)OC1CCOC1,2.48,ChEMBL
Cc1cc(=O)n(-c2ccccc2)n1C,-2.52,ChEMBL
c1ccc2nc3ccccc3cc2c1,2.32,ChEMBL
CN1C(=O)Cc2ccccc21,-0.9,ChEMBL
Br.Br.O=C(C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(Cc4ccccc4)Cc4ccccc4)C3)cc2)C1)N(Cc1ccccc1)Cc1ccccc1,8.03,ChEMBL
NCC(=O)CN,1.43,ChEMBL
OCCNC1CCN(Cc2ccccc2)CC1,2.57,ChEMBL
O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-2.57,ChEMBL
O=C(OCc1ccccc1)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)OCc1ccccc1,6.48,ChEMBL
CCCc1nc(C)nc2c1CCC(=O)N2Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.45,ChEMBL
CN(C)/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,4.8,ChEMBL
CC(C)(CN)CN,2.37,ChEMBL
CC1(C)CC(N)CC(C)(C)N1,2.73,ChEMBL
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1.76,ChEMBL
O=C([C@@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCCC2)c1)N1CCCC1,-0.2,ChEMBL
NC(=O)c1ccccc1,-2.67,ChEMBL
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,2.41,ChEMBL
CN(C)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2Cl)c1,-1.84,ChEMBL
CNCCCN,2.01,ChEMBL
CNC1CCN(C)CC1,2.75,ChEMBL
CCOC(=O)C1=CCCN(C(C)C)C1,2.34,ChEMBL
N#C[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)C2CCCC2)c1,0.8,ChEMBL
CC(C)C(=O)[C@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCC[C@@H]2C#N)c1,0.3,ChEMBL
Br.Br.O=C(NCc1ccccc1)C1CCCN(Cc2ccc(CN3CCCC(C(=O)NCc4ccccc4)C3)cc2)C1,4.176,ChEMBL
Br.Br.CCN(CC)CC1CCCN(Cc2ccc(CN3CCCC(CN(CC)CC)C3)cc2)C1,4.8,ChEMBL
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,1.99,ChEMBL
O=C(NCc1ccccc1)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)NCc1ccccc1,5.12,ChEMBL
O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,2.37,ChEMBL
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,6.49,ChEMBL
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-3.0,ChEMBL
Br.Br.CCCCN(C)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(C)CCCC)C3)cc2)C1,4.516,ChEMBL
CN(C)CCCN(C)C,2.04,ChEMBL
NCC(O)CN,1.54,ChEMBL
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc(O)c1,4.03,ChEMBL
C#C[C@]1(O)[C@@H](F)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,2.87,ChEMBL
C#C[C@]1(O)[C@@H](F)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](CC)C[C@@]21C,4.12,ChEMBL
CN(C)CCn1c(=O)c2ccc(Cl)c3c(=O)c4ccccc4n(c1=O)c23,1.56,ChEMBL
COc1cccc2c1Cc1c(OC)cccc1C2=O,3.68,ChEMBL
CN(C)CCn1c(=O)c2ccc(NCCN3CCNCC3)c3c(=O)c4ccccc4n(c1=O)c23,1.7,ChEMBL
COc1ccc2c(c1)c(=O)c1c(NCCN(C)C)ccc3c(=O)n(CCN(C)C)c(=O)n2c31,1.28,ChEMBL
O=Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2,4.06,ChEMBL
CN(C)C=C1c2cccc(O)c2C(=O)c2c(O)cccc21,3.18,ChEMBL
c1ccc2cc3ccccc3cc2c1,4.49,ChEMBL
c1ccc2c(c1)Cc1ccccc1C2,4.06,ChEMBL
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.26,ChEMBL
CO[C@H]1C[C@]2(C)[C@@H](O)[C@@H](F)C[C@H]2[C@@H]2CCc3cc(O)ccc3[C@H]21,2.35,ChEMBL
Cc1nc2nc(-c3ccccc3)[nH]c(N[C@H](C)c3ccccc3)c-2c1C,3.5,ChEMBL
CCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OC)C1c1ccccc1C(F)(F)F,3.82,ChEMBL
O=C1c2c(O)cccc2C(C2c3cccc(O)c3C(=O)c3c(O)cccc32)c2cccc(O)c21,5.01,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3C(CC)C[C@@]21C,4.28,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,3.98,ChEMBL
CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4cc(O)c(O)cc4c(=O)c1c23,1.29,ChEMBL
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,5.02,ChEMBL
Fc1ccc(-n2ccnc2)cc1,1.67,ChEMBL
CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccc([N+](=O)[O-])cc4c(=O)c1c23,2.32,ChEMBL
COc1cccc2c1C(=O)c1c(cccc1OC)C2,3.88,ChEMBL
O=C1C=CC(=O)c2c(O)cccc21,2.74,ChEMBL
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1cccc(I)c1,4.48,ChEMBL
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1ccccc1OC,3.19,ChEMBL
CC(=O)c1ccccc1COc1cccc2c1C(=O)c1c(O)cccc1C2,3.49,ChEMBL
CC(C)=CCc1c(C)cc(O)c2c1Cc1c(CC=C(C)C)c(O)cc(O)c1C2=O,6.56,ChEMBL
CC(=O)Oc1cccc2c1C(=O)c1c(cccc1OC(C)=O)C2,2.4,ChEMBL
Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2,4.99,ChEMBL
CCCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(C)C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,4.04,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)CN,1.52,ChEMBL
CC1=C(C#N)C(c2cccc([N+](=O)[O-])c2)C(C#N)=C(C)N1,1.45,ChEMBL
CC(=O)Oc1cccc2c1C(OC(C)=O)c1c(cccc1OC(C)=O)C2,2.02,ChEMBL
O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,1.83,ChEMBL
CCSC1c2cccc(O)c2C(=O)c2c(O)cccc21,2.97,ChEMBL
Oc1ccc(-n2ccnc2)cc1,0.94,ChEMBL
CC(=O)C1=C(O)OC(=O)C(C(C)Nc2cc(NC(=O)[C@@H](O)CO)cc(NC(=O)[C@@H](O)CO)c2)C1=O,-2.44,ChEMBL
CCCCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,4.12,ChEMBL
O=C1c2c(O)cccc2C(Cc2ccccc2)(Cc2ccccc2)c2cccc(O)c21,4.33,ChEMBL
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1cccc(C)c1,3.76,ChEMBL
O=C1c2ccccc2Cc2ccccc21,3.46,ChEMBL
N=C1c2c(O)cccc2Cc2cccc(O)c21,4.72,ChEMBL
Oc1cccc(O)c1O,1.19,ChEMBL
c1ccc(Cn2ccnc2)cc1,2.01,ChEMBL
CCC1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]2CCc3cc(O)ccc3[C@@H]12,3.9,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1csc(N)n1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1,3.01,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)/C=C/c1ccccc1,3.61,ChEMBL
CCN(CC)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccccc4c(=O)c1c23,3.0,ChEMBL
O=C1c2cccc(O)c2Cc2cccc(O)c21,3.51,ChEMBL
CC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,3.49,ChEMBL
Cn1ccnc1,0.28,ChEMBL
O=C1c2c(Cl)cccc2Cc2cccc(Cl)c21,3.51,ChEMBL
O=[N+]([O-])c1ccc(-n2ccnc2)cc1,1.19,ChEMBL
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.73,ChEMBL
CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,3.26,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)CCCCCc1ccccc1,4.66,ChEMBL
Br.Br.CN(C)CCNc1ccc2c(=O)n(CCN(C)C)c(=O)n3c4ccc(O)cc4c(=O)c1c23,1.5,ChEMBL
O=C1c2c(O)cccc2C(Cc2ccccc2)c2cccc(O)c21,4.5,ChEMBL
NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],-3.0,ChEMBL
CC[C@H]1C[C@]2(C)[C@@H](O)[C@@H](F)C[C@H]2[C@@H]2CCc3cc(O)ccc3[C@@H]12,3.72,ChEMBL
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,3.01,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O,2.06,ChEMBL
CCOC(=O)c1c(C)nc(C)c(C(=O)OCC)c1-c1cccc([N+](=O)[O-])c1,3.1,ChEMBL
Nc1cccc2c1Cc1ccccc1C2=O,2.46,ChEMBL
C[n+]1ccccc1C=NO,-3.0,ChEMBL
CN(C)CCn1c(=O)c2ccc(NCCN)c3c(=O)c4ccccc4n(c1=O)c23.Cl.Cl,1.21,ChEMBL
O=C1c2ccccc2Cc2ccc(O)c(O)c21,3.19,ChEMBL
O=CC1c2cccc(O)c2C(=O)c2c(O)cccc21,2.79,ChEMBL
CCn1ccnc1,0.81,ChEMBL
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,6.14,ChEMBL
COc1ccc2c(c1)c(=O)c1c(NCCNCCO)ccc3c(=O)n(CCN(C)C)c(=O)n2c31,0.25,ChEMBL
c1ccc(Nc2ccccc2)cc1,2.94,ChEMBL
Nc1cccc2c1C(=O)c1ccccc1C2,2.45,ChEMBL
O=[N+]([O-])c1ccc(Cn2ccnc2)cc1,1.93,ChEMBL
c1ccc(-n2ccnc2)cc1,1.48,ChEMBL
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](F)[C@@H]2O,2.81,ChEMBL
COc1cc2c(=O)c3c(NCCN(C)C)ccc4c(=O)n(CCN(C)C)c(=O)n(c2cc1OC)c43,1.39,ChEMBL
CCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],2.51,ChEMBL
COc1cccc2c1C(=O)c1c(O)cccc1C2,3.44,ChEMBL
O=C1c2c(O)cccc2Cc2cc(CO)cc(O)c21,3.37,ChEMBL
O=C(c1ccccc1O)c1ccccc1O,2.66,ChEMBL
CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)CC)c2[nH]1,3.81,ChEMBL
CC(=O)C1=C(O)OC(=O)C(C(C)Nc2cc(NC(=O)[C@H](O)CO)cc(NC(=O)[C@H](O)CO)c2)C1=O,-2.44,ChEMBL
O=C1c2c(O)cccc2Cc2cccc(O)c21,4.23,ChEMBL
O=C1c2ccccc2Cc2cccc(O)c21,3.99,ChEMBL
C#C[C@]1(O)[C@@H](F)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,3.3,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@@H](N)CC1CCCCC1,1.86,ChEMBL
CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1csc(N)n1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCN(C(=O)CCC(=O)O)CC1,2.03,ChEMBL
CC(=O)c1c(O)c(/C(C)=N/c2cc(NC(=O)C(O)CO)cc(NC(=O)C(O)CO)c2)c(O)oc1=O,-2.44,ChEMBL
CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC)C1c1ccc(I)cc1,4.7,ChEMBL
