Drug,CYP3A4,CYP2C9,CYP2D6,source
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCCC2,0,,,ChEMBL
CSc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccnc1)CC2,0,,,ChEMBL
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,0,,,ChEMBL
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2,0,,,ChEMBL
COC(=O)c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,0,,,ChEMBL
Cn1c2cccnc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
O=[N+]([O-])c1cccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2Cc1ccncc1,0,,,ChEMBL
CN(C)c1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,0,,,ChEMBL
CC(C)Oc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,0,,,ChEMBL
CCOC(=O)CCCn1c(=O)nc2n(CCCCOC(=O)C[C@@H]3CC4C5CC[C@H](O)C5CCC4[C@@]4(C)CCC(=O)C=C34)c3ccccc3cc-2c1=O,0,,,ChEMBL
O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,0,,,ChEMBL
OC1N=C(c2ccccc2F)c2cc(Cl)ccc2-n2cncc21,0,,,ChEMBL
NC(=O)c1cccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c12,0,,,ChEMBL
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0,,,ChEMBL
Cn1c2cccc([N+](=O)[O-])c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
COc1nccc2c1c1ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c1n2C,0,,,ChEMBL
Cn1c2ccnc(Cl)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
O=[N+]([O-])c1cc([N+](=O)[O-])c2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)nc(CN4CCOCC4)nc3c2c1,0,,,ChEMBL
O=[N+]([O-])c1ccc2[nH]c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc3c2c1,0,,,ChEMBL
Cn1c2cccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,1,,,ChEMBL
CCOC(=O)Cn1c2ccc([N+](=O)[O-])cc2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
Cn1c2ccnc(Cl)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
Cn1c2ccnc(N3CCOCC3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
Cn1c2nccc(C(N)=O)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
Cn1c2cccc(C(N)=O)c2c2nc(CN3CCOCC3)nc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
Cn1c2ccnc(NCc3ccccn3)c2c2ncnc(N3CCN(CCc4ccc(F)c(F)c4)CC3)c21,0,,,ChEMBL
